,NewLat,NewLon,Time Seg,0.0,1.0,2.0,3.0,4.0,5.0,6.0,Analysis Neighborhood
220,37.7125,-122.4475,Afternoon,2.0,5.0,0.0,0.0,1.0,0.0,1.0,Outer Mission
221,37.7125,-122.4475,Evening,2.0,3.0,0.0,0.0,3.0,0.0,2.0,Outer Mission
222,37.7125,-122.4475,Morning,1.0,6.0,0.0,1.0,1.0,0.0,2.0,Outer Mission
223,37.7125,-122.4475,Night,0.0,4.0,0.0,0.0,0.0,0.0,0.0,Outer Mission
224,37.7125,-122.44500000000001,Afternoon,9.0,14.0,4.0,8.0,16.0,0.0,9.0,Outer Mission
225,37.7125,-122.44500000000001,Evening,6.0,15.0,1.0,7.0,9.0,0.0,3.0,Outer Mission
226,37.7125,-122.44500000000001,Morning,7.0,14.0,3.0,5.0,10.0,1.0,6.0,Outer Mission
227,37.7125,-122.44500000000001,Night,3.0,5.0,0.0,3.0,4.0,1.0,2.0,Outer Mission
228,37.7125,-122.4425,Afternoon,1.0,6.0,1.0,0.0,0.0,0.0,0.0,Excelsior
229,37.7125,-122.4425,Evening,2.0,12.0,6.0,0.0,1.0,0.0,1.0,Excelsior
230,37.7125,-122.4425,Morning,4.0,9.0,5.0,2.0,2.0,0.0,3.0,Excelsior
231,37.7125,-122.4425,Night,0.0,5.0,2.0,1.0,0.0,0.0,0.0,Excelsior
232,37.7125,-122.44,Afternoon,4.0,11.0,3.0,2.0,4.0,0.0,1.0,Excelsior
233,37.7125,-122.44,Evening,1.0,6.0,1.0,1.0,1.0,0.0,2.0,Excelsior
234,37.7125,-122.44,Morning,2.0,15.0,3.0,0.0,3.0,0.0,0.0,Excelsior
235,37.7125,-122.44,Night,0.0,3.0,0.0,0.0,1.0,0.0,0.0,Excelsior
236,37.7125,-122.4375,Afternoon,3.0,8.0,3.0,1.0,1.0,0.0,3.0,Excelsior
237,37.7125,-122.4375,Evening,3.0,10.0,6.0,3.0,4.0,0.0,0.0,Excelsior
238,37.7125,-122.4375,Morning,4.0,7.0,0.0,2.0,4.0,0.0,5.0,Excelsior
239,37.7125,-122.4375,Night,2.0,0.0,1.0,0.0,1.0,0.0,1.0,Excelsior
240,37.7125,-122.435,Afternoon,8.0,10.0,9.0,5.0,2.0,1.0,2.0,Excelsior
241,37.7125,-122.435,Evening,3.0,6.0,5.0,0.0,5.0,0.0,0.0,Excelsior
242,37.7125,-122.435,Morning,6.0,11.0,1.0,4.0,1.0,0.0,2.0,Excelsior
243,37.7125,-122.435,Night,0.0,3.0,0.0,1.0,1.0,0.0,0.0,Excelsior
244,37.7125,-122.4325,Afternoon,10.0,12.0,2.0,11.0,7.0,0.0,7.0,Excelsior
245,37.7125,-122.4325,Evening,6.0,13.0,1.0,5.0,4.0,1.0,3.0,Excelsior
246,37.7125,-122.4325,Morning,9.0,12.0,1.0,3.0,10.0,0.0,3.0,Excelsior
247,37.7125,-122.4325,Night,5.0,5.0,0.0,2.0,2.0,0.0,2.0,Excelsior
248,37.7125,-122.43,Afternoon,4.0,2.0,4.0,3.0,4.0,0.0,1.0,Excelsior
249,37.7125,-122.43,Evening,4.0,5.0,0.0,5.0,4.0,0.0,2.0,Excelsior
250,37.7125,-122.43,Morning,7.0,4.0,2.0,1.0,2.0,0.0,1.0,Excelsior
251,37.7125,-122.43,Night,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Excelsior
252,37.7125,-122.4225,Afternoon,12.0,28.0,7.0,12.0,15.0,0.0,11.0,Visitacion Valley
253,37.7125,-122.4225,Evening,2.0,20.0,2.0,13.0,17.0,0.0,8.0,Visitacion Valley
